f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label
0.109798,-0.490182,-0.028277,-0.328061,0.919450,-1.511885,1.830785,2.557465,-0.474616,-1.450790,-0.646618,1.718465,0.959074,1.533855,-0.577488,-0.507697,-0.003854,0.948157,1.647436,0.358950,5
-0.607780,0.299929,1.321516,0.535125,1.027735,1.232255,-1.738531,-2.587995,0.255500,1.418560,0.738759,-2.840899,-0.088660,0.182469,1.409692,1.710330,-0.550605,-0.334350,-0.075188,-3.104580,5
1.242442,-1.016422,1.966760,0.901460,-2.268790,-1.165881,-0.528960,-3.304764,0.121426,-2.003112,1.550939,-0.072559,0.534059,0.181131,2.909086,-1.218323,0.265670,1.081741,-1.116299,-8.021763,3
1.284989,-2.310253,0.767599,-1.893717,1.416127,-0.059715,1.810230,6.568201,0.101882,0.470839,1.907627,4.669041,0.503308,-0.735595,4.656898,-1.412079,-1.799485,0.602234,0.120353,1.001531,3
-0.015588,-0.833179,1.168561,0.002281,0.479224,0.205504,-1.994126,-2.461306,0.831886,0.987445,-1.039438,-1.762127,1.719191,2.163841,4.592318,-1.123867,-0.366132,-0.337699,-0.197634,-6.492284,9
-1.023635,-0.475949,-1.388842,1.223681,-0.792453,-1.393671,1.265486,-2.070754,0.362033,-1.828884,-1.115000,-2.366692,0.190149,0.477855,-4.485604,-0.470072,-0.593341,0.055895,1.961092,0.378699,5
0.494007,-0.691830,2.215464,-0.512455,0.355993,-0.956005,0.355327,1.601956,-1.519688,-1.679237,1.730638,3.292348,1.396983,0.460196,4.826380,-0.989876,-1.660622,1.300453,-1.288004,-5.958543,3
-1.020939,0.634391,-1.634382,-0.511756,-0.275683,-1.481152,-0.370570,0.200592,0.794669,0.576448,-1.913804,3.051138,-0.909144,0.526307,-1.507646,1.437837,1.578133,2.079894,0.047202,4.923680,7
0.069238,-1.682035,1.150466,0.634673,2.188866,1.995552,0.247274,2.794563,-0.788000,-0.063161,0.832050,-3.061489,1.977980,-1.855202,1.635294,-0.831458,0.112044,1.039751,0.814440,-6.046260,3
1.082725,-0.923045,1.907561,-0.775767,1.757963,-1.685051,-0.464021,0.198854,-1.707295,-1.234239,1.055241,4.203902,1.240436,0.183359,6.067451,-0.497242,0.398437,1.358035,-0.312129,-6.046879,3
0.142211,1.211390,2.436570,1.204955,1.160505,1.726063,0.519671,0.038151,0.385310,2.312787,1.685004,-7.986382,0.795359,1.146921,-2.672745,1.031006,-0.061225,-1.058326,1.412174,0.014229,9
-1.135198,2.934050,-1.136957,1.145273,-0.112458,-1.902393,0.924648,-1.271910,1.296449,3.373551,0.566356,-4.995310,-2.136983,-0.754366,-10.317221,0.427292,0.952327,2.646934,-0.416987,12.924126,7
-0.379033,-0.094320,-0.322273,-0.204844,0.826584,0.414075,-0.446525,-0.227346,1.728368,0.809465,0.152796,0.723850,-1.014397,2.362632,0.269292,0.042788,-1.422706,-0.190519,0.571137,1.713102,5
-0.832512,-0.009262,-3.403433,-0.260724,-1.073300,-0.821792,-0.425095,0.650195,0.745890,1.584502,-0.386577,-1.838843,1.869595,0.357325,-3.088185,-0.218368,-0.169112,0.288725,-0.867770,4.311746,1
-0.410878,0.019235,2.396813,0.656800,-0.298125,-1.153532,-2.060635,-3.434057,1.456350,-1.942311,0.982228,0.802835,2.043976,0.179784,5.292214,-0.280271,0.761486,1.833928,0.542346,-11.469326,3
0.627227,0.271225,-0.837508,-1.430636,1.118514,1.903827,0.892508,6.893677,-0.469421,1.292300,-0.965573,4.931369,-2.010718,1.484233,-0.203510,-0.391097,-0.123056,1.864212,1.905827,7.275422,9
-0.281059,-1.054836,0.579872,1.643409,-1.439281,-0.583581,-1.042288,-6.385636,-0.035135,0.913435,-0.034748,-4.755290,-1.826381,0.017689,-1.589534,-0.559111,-2.206093,0.102135,1.121753,-1.421127,4
-0.434681,0.257448,-1.015594,-2.024831,1.246683,0.619602,-1.317596,4.174756,-0.272066,0.875052,0.648425,5.576261,1.412373,-1.859769,4.826464,-0.321712,-0.229261,0.516071,-0.256320,0.191272,3
